 10:09:29.175  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBox - ID_EXT: 1452244169169, User: ji017656 ... boxChangeStateSBO end [100].
 10:09:29.177  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244169177, User: ji017656
 10:09:29.178  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBoAbstract - ID_EXT: 1452244169177, User: ji017656 ... boAbstractStatusHistory start.
 10:09:29.186  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBoAbstract - ID_EXT: 1452244169177, User: ji017656 ... boAbstractStatusHistory end [100].
 10:09:29.191  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBox - ID_EXT: 1452244168747, User: ji017656 ... boxSetStateSBO end [100].
 10:09:29.191  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Removing dynamic group cs_superusers_dynamic from session for User: ji017656.
 10:09:29.192  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBox - ID_EXT: 1452244168747, User: ji017656 ... boxInProperStateSBO end [200].
 10:09:33.962  INFO | com.emc.xcp.rest.core.process.controller.ProcessController - startProcess: User: bv020866, Process: cs_cs_sp_search_record
 10:09:33.966  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244173966, User: bv020866
 10:09:33.967  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244173966, User: bv020866 ... searchRecType start.
 10:09:33.970  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Adding dynamic group cs_superusers_dynamic into session for User: bv020866.
 10:09:34.067  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Removing dynamic group cs_superusers_dynamic from session for User: bv020866.
 10:09:34.069  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244173966, User: bv020866 ... searchRecType end [100].
 10:09:35.911  INFO | com.emc.xcp.rest.core.process.controller.ProcessController - startProcess: User: cen77895, Process: cs_cs_sp_duid_in_box
 10:09:35.914  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244175913, User: cen77895
 10:09:35.914  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRecord - ID_EXT: 1452244175913, User: cen77895 ... duidInBox start.
 10:09:35.922  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRecord - ID_EXT: 1452244175913, User: cen77895 ... duidInBox end [100].
 10:09:39.171  INFO | cz.ness.xcp.services.util.user.NessUtilUser - hasUserAccessToPage end. User: cen83714 has access to page cs:cs_pa_home_page
